algorithm,slug,category,implementation_status,required_packages,qiskit_aer_code,notes
Variational Quantum Eigensolver (VQE),vqe,Quantum Chemistry & Ground State,FULL_DEMO,"qiskit>=2.0,qiskit-aer>=0.17,numpy,scipy","import numpy as np
from scipy.optimize import minimize
from qiskit import QuantumCircuit
from qiskit_aer import AerSimulator
from qiskit.quantum_info import SparsePauliOp

H = SparsePauliOp.from_list([(""Z"", 1.0), (""X"", 0.2)])
sim = AerSimulator(method=""statevector"")

def energy(theta):
    qc = QuantumCircuit(1)
    qc.ry(theta[0], 0)
    qc.save_statevector()
    sv = sim.run(qc).result().get_statevector()
    return float(np.real(sv.expectation_value(H)))

result = minimize(energy, [0.5], method=""COBYLA"")
print({""optimal_parameters"": result.x.tolist(), ""energy"": result.fun})",Actual hybrid VQE loop: parameterized ansatz + expectation value + classical optimizer.
Adapt-VQE,adapt-vqe,Quantum Chemistry & Ground State,FULL_SMALL_DEMO,"qiskit>=2.0,qiskit-aer>=0.17,numpy,scipy","import numpy as np
from scipy.optimize import minimize_scalar
from qiskit import QuantumCircuit
from qiskit_aer import AerSimulator
from qiskit.quantum_info import SparsePauliOp

H = SparsePauliOp.from_list([(""Z"", 1.0), (""X"", 0.3)])
sim = AerSimulator(method=""statevector"")
pool = [""rx"", ""ry""]

def energy(theta, op):
    qc = QuantumCircuit(1)
    getattr(qc, op)(theta, 0)
    qc.save_statevector()
    sv = sim.run(qc).result().get_statevector()
    return float(np.real(sv.expectation_value(H)))

theta = 0.0
chosen = []
for _ in range(2):
    candidates = []
    for op in pool:
        r = minimize_scalar(lambda t: energy(theta + t, op), bounds=(-np.pi, np.pi), method=""bounded"")
        candidates.append((r.fun, op, r.x))
    value, op, delta = min(candidates)
    if op not in chosen:
        chosen.append(op)
    theta += delta

print({""selected_operators"": chosen, ""parameter"": theta, ""energy"": value})",Small one-qubit ADAPT-style demonstration with an operator-pool selection loop; not a chemistry-scale fermionic ADAPT implementation.
Subspace-Search VQE (SS-VQE),ss-vqe,Quantum Chemistry & Ground State,FULL_SMALL_DEMO,"qiskit>=2.0,qiskit-aer>=0.17,numpy,scipy","import numpy as np
from scipy.optimize import minimize
from qiskit import QuantumCircuit
from qiskit_aer import AerSimulator
from qiskit.quantum_info import SparsePauliOp

H = SparsePauliOp.from_list([(""Z"", 1.0), (""X"", 0.2)])
sim = AerSimulator(method=""statevector"")

def state_energy(theta, excited=False):
    qc = QuantumCircuit(1)
    if excited:
        qc.x(0)
    qc.ry(theta, 0)
    qc.save_statevector()
    sv = sim.run(qc).result().get_statevector()
    return float(np.real(sv.expectation_value(H)))

results = []
for excited in [False, True]:
    r = minimize(lambda x: state_energy(x[0], excited), [0.2], method=""COBYLA"")
    results.append({""subspace_state"": int(excited), ""energy"": float(r.fun), ""theta"": float(r.x[0])})

print(results)",Small subspace-search demonstration using orthogonal initial sectors; a production SS-VQE should generalize to multiple orthogonal trial states.
Quantum Approximate Optimization Algorithm (QAOA),qaoa,Optimization & NISQ,FULL_DEMO,"qiskit>=2.0,qiskit-aer>=0.17,numpy,networkx,scipy","import numpy as np
import networkx as nx
from scipy.optimize import minimize
from qiskit import QuantumCircuit
from qiskit_aer import AerSimulator

G = nx.Graph([(0,1), (1,2), (0,2)])
sim = AerSimulator()

def circuit(params):
    p = len(params)//2
    qc = QuantumCircuit(3, 3)
    qc.h(range(3))
    for layer in range(p):
        gamma, beta = params[2*layer], params[2*layer+1]
        for u,v in G.edges:
            qc.cx(u,v); qc.rz(2*gamma, v); qc.cx(u,v)
        for q in range(3):
            qc.rx(2*beta, q)
    qc.measure(range(3), range(3))
    return qc

def objective(params):
    counts = sim.run(circuit(params), shots=512).result().get_counts()
    return -sum(n * sum(int(bit[i]) != int(bit[j]) for i,j in G.edges)
                for bit,n in counts.items()) / 512

r = minimize(objective, np.array([0.5,0.5]), method=""COBYLA"")
counts = sim.run(circuit(r.x), shots=2048).result().get_counts()
print({""parameters"": r.x.tolist(), ""counts"": counts})","Real QAOA loop with cost Hamiltonian construction, parameter optimization, and sampling."
Warm-Start QAOA,warm-qaoa,Optimization & NISQ,FULL_SMALL_DEMO,"qiskit>=2.0,qiskit-aer>=0.17,numpy,scipy","import numpy as np
from scipy.optimize import minimize
from qiskit import QuantumCircuit
from qiskit_aer import AerSimulator

sim = AerSimulator()
warm_start_angles = [0.7, 1.0, 0.5]

def circuit(params):
    gamma, beta = params
    qc = QuantumCircuit(3,3)
    for q,a in enumerate(warm_start_angles):
        qc.ry(a,q)
    for u,v in [(0,1),(1,2),(0,2)]:
        qc.cx(u,v); qc.rz(2*gamma,v); qc.cx(u,v)
    qc.rx(2*beta, range(3))
    qc.measure(range(3),range(3))
    return qc

def objective(x):
    c = sim.run(circuit(x), shots=512).result().get_counts()
    return -sum(n * (int(b[0])!=int(b[1]) + int(b[1])!=int(b[2]) + int(b[0])!=int(b[2]))
                for b,n in c.items())/512

r=minimize(objective,[0.5,0.5],method=""COBYLA"")
print({""warm_start_angles"":warm_start_angles,""parameters"":r.x.tolist(),
       ""counts"":sim.run(circuit(r.x),shots=2048).result().get_counts()})","Warm-started parameterized state plus QAOA optimization. For a production implementation, derive warm-start angles from a classical relaxation."
HHL Linear Systems Solver,hhl,Linear Algebra Systems,EDUCATIONAL_SMALL_DEMO,"qiskit>=2.0,qiskit-aer>=0.17,numpy","from qiskit import QuantumCircuit
from qiskit_aer import AerSimulator

# Educational 1-qubit HHL-style circuit skeleton for a diagonal system.
# It demonstrates phase-estimation, controlled rotation and uncomputation.
sim = AerSimulator()
qc = QuantumCircuit(3,3)
qc.h(0)
qc.h(1)
qc.x(2)
qc.cp(0.8, 0, 1)
qc.cp(1.6, 1, 2)
qc.ry(0.6, 2)
qc.cp(-1.6, 1, 2)
qc.cp(-0.8, 0, 1)
qc.h(0); qc.h(1)
qc.measure(range(3),range(3))
print(sim.run(qc,shots=2048).result().get_counts())","Educational reduced HHL circuit only. A complete HHL requires a specified matrix, phase estimation, reciprocal eigenvalue rotation, uncomputation and solution-state interpretation."
Variational Quantum Linear Solver (VQLS),vqls,Linear Algebra Systems,FULL_SMALL_DEMO,"qiskit>=2.0,qiskit-aer>=0.17,numpy,scipy","import numpy as np
from scipy.optimize import minimize
from qiskit import QuantumCircuit
from qiskit_aer import AerSimulator

A = np.array([[1.0,0.2],[0.2,1.0]])
b = np.array([1.0,0.0])
sim = AerSimulator(method=""statevector"")

def state(theta):
    qc=QuantumCircuit(1); qc.ry(theta[0],0); qc.save_statevector()
    return sim.run(qc).result().get_statevector()

def cost(theta):
    psi=np.asarray(state(theta))
    residual=A@psi-b
    return float(np.vdot(residual,residual).real)

r=minimize(cost,[0.3],method=""COBYLA"")
print({""theta"":r.x.tolist(),""cost"":r.fun,""state"":np.asarray(state(r.x)).tolist()})",Small variational residual-minimization demonstration for Ax=b.
Shor's Factoring Algorithm,shors,Cryptography & Algebra,EDUCATIONAL_SMALL_DEMO,"qiskit>=2.0,qiskit-aer>=0.17,numpy","from math import gcd
from qiskit import QuantumCircuit
from qiskit_aer import AerSimulator

# Educational order-finding circuit for N=15 is non-trivial; this compact
# example demonstrates the quantum Fourier-transform/order-finding structure.
N=15; a=2
sim=AerSimulator()
qc=QuantumCircuit(8,4)
qc.h(range(4))
qc.x(7)
for q in range(4):
    qc.cp(2**q * 0.3926990817, q, 7)
qc.h(range(4))
qc.measure(range(4),range(4))
print({""N"":N,""a"":a,""gcd"":gcd(a,N),
       ""counts"":sim.run(qc,shots=2048).result().get_counts()})","Reduced order-finding demonstration, not a full modular-exponentiation Shor implementation."
Simon's Algorithm,simon,Cryptography & Algebra,FULL_SMALL_DEMO,"qiskit>=2.0,qiskit-aer>=0.17,numpy","from qiskit import QuantumCircuit
from qiskit_aer import AerSimulator

secret=""11""; n=len(secret)
sim=AerSimulator()
qc=QuantumCircuit(2*n,n)
qc.h(range(n))
# Oracle f(x)=x0 XOR x1, copied into a single output register bit.
qc.cx(0,2); qc.cx(1,2)
qc.h(range(n))
qc.measure(range(n),range(n))
print(sim.run(qc,shots=2048).result().get_counts())",Small Simon circuit demonstrating a 2-bit secret and oracle-generated linear equations.
Deutsch-Jozsa Algorithm,deutsch-jozsa,Cryptography & Algebra,FULL_DEMO,"qiskit>=2.0,qiskit-aer>=0.17,numpy","from qiskit import QuantumCircuit
from qiskit_aer import AerSimulator

n=3; balanced=True
sim=AerSimulator()
qc=QuantumCircuit(n+1,n)
qc.x(n); qc.h(range(n+1))
if balanced:
    for q in range(n): qc.cx(q,n)
qc.h(range(n)); qc.measure(range(n),range(n))
print(sim.run(qc,shots=2048).result().get_counts())",Full constant/balanced decision circuit for a simple oracle family.
